#UserID	CurriculumID	TranscriptStatus	RequestDateTime	RegistrationDateTime	CompletionDateTime
GCS_004805_Osipova	023c25d3-3420-449c-a75b-0d74d29ddc38	Completed	04/02/2008 00:00:00	04/02/2008 00:00:00	04/02/2008 00:00:00
GCS_004524_Sibler	023c25d3-3420-449c-a75b-0d74d29ddc38	Completed	20/02/2008 00:00:00	20/02/2008 00:00:00	20/02/2008 00:00:00
GCS_003587_Lueckfeldt	023c25d3-3420-449c-a75b-0d74d29ddc38	Completed	11/02/2008 00:00:00	11/02/2008 00:00:00	11/02/2008 00:00:00
GCS_003823_Toet	023c25d3-3420-449c-a75b-0d74d29ddc38	Completed	31/10/2007 00:00:00	31/10/2007 00:00:00	31/10/2007 00:00:00
GCS_004148_Lee	023c25d3-3420-449c-a75b-0d74d29ddc38	Completed	31/10/2007 00:00:00	31/10/2007 00:00:00	31/10/2007 00:00:00
GCS_000047_Ghanem	023c25d3-3420-449c-a75b-0d74d29ddc38	Completed	29/10/2007 00:00:00	29/10/2007 00:00:00	29/10/2007 00:00:00
GCS_004906_Busslinger	023c25d3-3420-449c-a75b-0d74d29ddc38	Completed	06/02/2008 00:00:00	06/02/2008 00:00:00	06/02/2008 00:00:00
GCS_003706_Slimane	023c25d3-3420-449c-a75b-0d74d29ddc38	Completed	31/10/2007 00:00:00	31/10/2007 00:00:00	31/10/2007 00:00:00
GCS_003577_Vasquez	023c25d3-3420-449c-a75b-0d74d29ddc38	Completed	07/03/2008 00:00:00	07/03/2008 00:00:00	07/03/2008 00:00:00
GCS_003627_Inacay	023c25d3-3420-449c-a75b-0d74d29ddc38	Completed	13/03/2008 00:00:00	13/03/2008 00:00:00	13/03/2008 00:00:00
GCS_003632_Gudoshnikova	023c25d3-3420-449c-a75b-0d74d29ddc38	Completed	18/03/2008 00:00:00	18/03/2008 00:00:00	18/03/2008 00:00:00
GCS_005227_Reidy	023c25d3-3420-449c-a75b-0d74d29ddc38	Completed	04/09/2008 00:00:00	04/09/2008 00:00:00	04/09/2008 00:00:00
GCS_003449_Morkuniene	023c25d3-3420-449c-a75b-0d74d29ddc38	Completed	07/01/2008 00:00:00	07/01/2008 00:00:00	07/01/2008 00:00:00
GCS_004631_Kuzio	023c25d3-3420-449c-a75b-0d74d29ddc38	Completed	03/12/2007 00:00:00	03/12/2007 00:00:00	03/12/2007 00:00:00
GCS_004424_Garcia	023c25d3-3420-449c-a75b-0d74d29ddc38	Completed	01/01/2008 00:00:00	01/01/2008 00:00:00	01/01/2008 00:00:00
EXBP_313455	023c25d3-3420-449c-a75b-0d74d29ddc38	Completed	04/01/2008 00:00:00	04/01/2008 00:00:00	04/01/2008 00:00:00
GCS_004594_Guerrero	023c25d3-3420-449c-a75b-0d74d29ddc38	Completed	26/10/2007 00:00:00	26/10/2007 00:00:00	26/10/2007 00:00:00
GCS_001823_Rudland	023c25d3-3420-449c-a75b-0d74d29ddc38	Completed	07/03/2008 00:00:00	07/03/2008 00:00:00	07/03/2008 00:00:00
GCS_003109_Leung	023c25d3-3420-449c-a75b-0d74d29ddc38	Completed	26/03/2008 00:00:00	26/03/2008 00:00:00	26/03/2008 00:00:00
GCS_000763_Krejci	023c25d3-3420-449c-a75b-0d74d29ddc38	Completed	22/02/2007 00:00:00	22/02/2007 00:00:00	22/02/2007 00:00:00
